18268,1,131167
18268,1,131343
18268,1,131673
18268,1,132443
18268,1,132905
18268,1,133037
18268,1,133411
18268,1,133455
18268,1,133675
18268,1,134313
18268,1,134313
18268,1,135061
18268,1,135457
18268,1,136029
18268,1,136073
18268,1,137591
18268,1,137943
18268,1,137943
18587,1,771254
18587,1,772310
18587,1,772750
18587,1,772750
18587,1,772772
18587,1,772838
18587,1,772904
18587,1,773476
18587,1,775104
18587,1,775104
18587,1,775280
18270,1,888470
18270,1,888470
18270,1,889482
18270,1,889636
18270,1,891506
18270,1,891550
18270,1,892276
18270,1,892408
18270,1,892672
18270,1,892826
18270,1,893486
18270,1,893618
18270,1,893684
18270,1,894124
18414,1,120107
18414,1,120107
18414,1,121031
18414,1,121295
18414,1,121295
18414,1,122879
18414,1,125475
18414,1,127873
18414,1,128731
18414,1,129699
18414,1,129787
18255,1,400704
18255,1,401672
18255,1,403784
18255,1,404730
18255,1,404972
18255,1,405346
18255,1,405610
18255,1,405610
18255,1,406380
18255,1,406380
18255,1,406424
18255,1,407942
18393,1,80754
18393,1,80974
18393,1,82250
18393,1,82250
18393,1,83570
18393,1,84934
18393,1,85264
18393,1,86430
18393,1,87112
18393,1,88432
18393,1,91710
18264,1,511585
18264,1,512003
18264,1,512003
18264,1,512553
18264,1,512663
18264,1,513433
18264,1,514225
18264,1,514291
18264,1,514357
18264,1,514357
18264,1,516887
18264,1,516887
18264,1,517811
18264,1,517811
18264,1,518141
18264,1,518383
18264,1,519065
18264,1,519175
18264,1,519879
18418,1,647
18418,1,911
18418,1,1087
18418,1,1703
18418,1,1945
18418,1,1967
18418,1,4057
18418,1,5113
18418,1,5311
18418,1,6037
18418,1,7291
18418,1,7753
18488,1,845623
18488,1,845997
18488,1,848219
18488,1,850023
18488,1,851893
18268,1,131167
18268,1,131343
18268,1,131673
18268,1,132443
18268,1,132905
18268,1,133037
18268,1,133411
18268,1,133455
18268,1,133675
18268,1,134313
18268,1,134313
18268,1,135061
18268,1,135457
18268,1,136029
18268,1,136073
18268,1,137591
18268,1,137943
18268,1,137943
18587,1,771254
18587,1,772310
18587,1,772750
18587,1,772750
18587,1,772772
18587,1,772838
18587,1,772904
18587,1,773476
18587,1,775104
18587,1,775104
18587,1,775280
18270,1,888470
18270,1,888470
18270,1,889482
18270,1,889636
18270,1,891506
18270,1,891550
18270,1,892276
18270,1,892408
18270,1,892672
18270,1,892826
18270,1,893486
18270,1,893618
18270,1,893684
18270,1,894124
18414,1,120107
18414,1,120107
18414,1,121031
18414,1,121295
18414,1,121295
18414,1,122879
18414,1,125475
18414,1,127873
18414,1,128731
18414,1,129699
18414,1,129787
18255,1,400704
18255,1,401672
18255,1,403784
18255,1,404730
18255,1,404972
18255,1,405346
18255,1,405610
18255,1,405610
18255,1,406380
18255,1,406380
18255,1,406424
18255,1,407942
18393,1,80754
18393,1,80974
18393,1,82250
18393,1,82250
18393,1,83570
18393,1,84934
18393,1,85264
18393,1,86430
18393,1,87112
18393,1,88432
18393,1,91710
18264,1,511585
18264,1,512003
18264,1,512003
18264,1,512553
18264,1,512663
18264,1,513433
18264,1,514225
18264,1,514291
18264,1,514357
18264,1,514357
18264,1,516887
18264,1,516887
18264,1,517811
18264,1,517811
18264,1,518141
18264,1,518383
18264,1,519065
18264,1,519175
18264,1,519879
18418,1,647
18418,1,911
18418,1,1087
18418,1,1703
18418,1,1945
18418,1,1967
18418,1,4057
18418,1,5113
18418,1,5311
18418,1,6037
18418,1,7291
18418,1,7753
18488,1,845623
18488,1,845997
18488,1,848219
18488,1,850023
18488,1,851893
18255,1,449800
18255,1,449866
18255,1,449888
18255,1,450064
18255,1,450064
18255,1,450152
18255,1,450328
18255,1,450350
18255,1,451318
18255,1,451538
18255,1,451868
18255,1,451868
18255,1,452110
18255,1,452462
18255,1,452682
18255,1,452968
18255,1,454398
18255,1,454640
18255,1,162251
18255,1,164451
18255,1,165859
18255,1,165969
18255,1,166365
18255,1,166783
18255,1,167377
18255,1,167399
18255,1,167751
18255,1,168521
18255,1,168631
18255,1,168873
18255,1,169863
18444,1,302130
18444,1,303582
18444,1,304176
18444,1,305760
18444,1,306860
18444,1,307432
18444,1,307916
18444,1,308884
18444,1,309566
18444,1,310644
18444,1,310644
18265,1,129567
18265,1,130953
18265,1,131107
18265,1,131899
18265,1,132603
18265,1,134077
18265,1,134143
18265,1,134253
18265,1,136277
18265,1,136387
18265,1,136387
18468,1,411592
18468,1,415134
18468,1,415442
18468,1,416168
18468,1,416762
18468,1,417664
18468,1,418764
18523,1,165330
18523,1,166848
18523,1,167068
18523,1,167244
18523,1,167684
18523,1,168718
18523,1,169884
18318,1,18024
18318,1,20532
18318,1,21742
18318,1,21874
18318,1,22006
18318,1,24426
18318,1,25108
18318,1,27836
18318,1,28122
18318,1,28848
18506,1,601154
18506,1,601638
18506,1,606236
18506,1,607006
18506,1,607204
18506,1,607204
18506,1,607336
18431,1,618855
18431,1,619471
18431,1,622133
18431,1,623057
18431,1,623695
18431,1,624773
18431,1,624773
18431,1,625213
18431,1,626049
18431,1,626137
18255,1,468543
18255,1,468763
18255,1,470413
18255,1,470501
18255,1,470523
18255,1,471183
18255,1,471799
18255,1,472305
18255,1,473251
18255,1,473339
18255,1,473559
18506,1,639768
18506,1,640384
18506,1,640384
18506,1,641264
18506,1,641330
18506,1,642100
18506,1,642628
18506,1,643596
18506,1,645422
18255,1,197526
18255,1,198560
18255,1,198626
18255,1,199330
18255,1,201332
18255,1,201684
18255,1,202498
18255,1,203246
18255,1,203906
18255,1,204874
18255,1,205644
18318,1,90718
18318,1,91202
18318,1,92786
18318,1,92874
18318,1,93072
18318,1,93512
18318,1,94282
18318,1,94282
18318,1,95404
18318,1,95426
18318,1,95690
18318,1,95734
18318,1,96922
18445,1,289920
18445,1,289964
18445,1,290074
18445,1,290426
18445,1,290448
18445,1,290470
18445,1,292296
18445,1,292648
18445,1,293022
18445,1,293264
18445,1,294562
18445,1,295332
18445,1,296454
18255,1,200797
18255,1,200863
18255,1,204427
18255,1,204889
18255,1,205945
18255,1,206319
18255,1,206319
18255,1,206319
18255,1,207067
18255,1,209135
18253,1,585512
18253,1,585578
18253,1,585666
18253,1,586304
18253,1,586502
18253,1,587030
18253,1,587580
